hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,M,MT,F,C,G,D,DT,DN,Hew,N,5,5D,5H,4,3,2,1,0,sMa,sHu,sSim,s5,s5D,s5H,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,SIB,xMT,xC,xG,xN,xDT,Mur,CT,GT,BL,Bg,T100,P600,P500,O,Un
65,"Ben Lui [Beinn Laoigh]","01D",,"Ma,M,Sim","1130","3707","NN266262","NN 26639 26289","NN320308","255","875","cairn","","","2001-10-28","","50","OL39N 364N 377E","226635","726297","56.397013","-4.810510","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
67,"Ben Oss","01D",,"Ma,M,Sim","1029","3376","NN287253","NN 28765 25340","NN274245","687","342","cairn","","","2001-10-28","","50","OL39N 364N 377E","228761","725348","56.389272","-4.775488","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,"Beinn Ime","01D",,"Ma,M,Sim","1011","3317","NN254084","NN 25499 08484","NN271211","299","712","shelter around old trig point","","obvious summit","2007-03-10","","56","OL39S 364S","225495","708491","56.236820","-4.817159","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
69,"Beinn Dubhchraig","01D",,"Ma,M,Sim","978","3209","NN307254","NN 30767 25486","NN297259","779","199","cairn","","","2012-08-03","","50","OL39N 364N 377E","230763","725494","56.391304","-4.743194","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,"Beinn Bhuidhe","01D",,"Ma,M,Sim","948.5","3112","NN203187","NN 20372 18709","NN204209","356","592","trig point base by cairn","trig point destroyed","Leica RX1250","2014-05-17","","50 56","OL39N 364N","220368","718717","56.326662","-4.906722","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
71,"Ben Vorlich","01D",,"Ma,M,Sim,CoH","943","3094","NN295124","NN 29513 12468","NN285149","311","632","cairn on rocky outcrop","higher than trig point 150m SE at NN 29585 12300","","2012-08-03","","50 56","OL39N OL39S 364N 364","229509","712475","56.274030","-4.755047","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
74,"Beinn Narnain","01D",,"Ma,M,Sim","927","3041","NN271066","NN 27172 06647","NN261071","637","290","rock outcrop by trig point","","obvious summit","2003-01-15","","56","OL39S 364S","227168","706654","56.220947","-4.789002","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,"Beinn a'Chleibh","01D",65,"Hu,M,Sim,sMa","916.3","3006","NN250256","NN 25058 25598","NN256258","775","141","rock by middle one of three cairns","ground by cairn 155m NW at NN 24921 25679 is 2.8m lower; small cairn 70m E at NN 25123 25583 is also lower","Leica NA730/Leica 530","2010-08-26","","50","OL39N 364N 377E","225054","725606","56.390231","-4.835632","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,"Ben Vane","01D",,"Ma,M,Sim","915.76","3004","NN277098","NN 27758 09837","NN263096","492","424","rock outcrop near small cairn","note cairn at top of gully 35m E at NN 27790 09830 is 0.52m lower","Leica NA730/Leica 530","2013-12-03","","56","OL39S 364S","227754","709844","56.249786","-4.781639","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,"Schiehallion","02A",,"Ma,M,Sim","1083","3553","NN713547","NN 71387 54761","NN368396","367","716","rock 20m NW of cairn","this rock is 15cm higher than a rock under the cairn (NN 71397 54747)","Abney level","2001-10-28","","42 51 52","OL49W 386W","271385","754769","56.666942","-4.100213","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
104,"Beinn a'Chreachain","02A",,"Ma,M,Sim","1080.6","3545","NN373440","NN 37390 44067","NN392450","431","650","large cairn","","Leica RX1250","2015-02-08","","50","OL48W 377E 378W","237387","744075","56.560382","-4.647618","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
105,"Beinn Dorain","02A",,"Ma,M,Sim","1076","3530","NN325378","NN 32558 37849","NN325398","744","332","large cairn","","","2001-10-28","","50","377E","232555","737857","56.502888","-4.722142","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,"Carn Mairg","02A",,"Ma,M,Sim","1042","3419","NN684512","NN 68494 51253","NN694549","576","466","large cairn","","","2014-12-21","","42 51","OL48E OL49W 378E 386","268492","751261","56.634644","-4.145592","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,"Beinn Achaladair","02A",,"Ma,M,Sim","1038.5","3407","NN344432","NN 34471 43234","NN353434","813","226","rock outcrop","note this does not correspond to published GR where there was no cairn","Abney level/Leica Disto/Leica RX1250","2014-07-28","","50","377E","234468","743242","56.551887","-4.694525","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,"Carn Gorm","02A",,"Ma,M,Sim","1029","3376","NN635500","NN 63515 50070","NN641513","842","187","rock near small cairn on outcrop","trig point (NN 63481 50134) is over one metre lower","Leica Disto","2014-12-19","","42 51","OL48E OL49W 378E 386","263513","750078","56.622599","-4.226073","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,"Beinn an Dothaidh","02A",,"Ma,M,Sim","1004","3294","NN331408","NN 33182 40858","NN340405","757","247","cairn","","","2001-10-28","","50","377E","233179","740866","56.530113","-4.713947","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,"Meall na Aighean","02A",107,"Hu,M,Sim","981","3219","NN694496","NN 69479 49660","NN689503","845","136","cairn","","","2009-11-20","","51","OL48E OL49W 378E 386","269477","749668","56.620618","-4.128740","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,"Meall Garbh","02A",107,"Hu,M,Sim","968","3176","NN647516","NN 64709 51678","NN655518","864","104","small cairn on boulders 18m SE of large cairn","large cairn is at NN 64700 51692","","2009-11-20","","42 51","OL48E OL49W 378E 386","264707","751686","56.637381","-4.207472","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,"Stuchd an Lochain [Stuc an Lochain]","02A",,"Ma,M,Sim","960","3150","NN483448","NN 48309 44832","NN592513","478","482","rock 2m from cairn","","Abney level","2009-11-20","","51","OL48W 378W","248306","744840","56.570907","-4.470586","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,"Beinn Mhanach","02A",,"Ma,M,Sim","953","3127","NN373411","NN 37373 41132","NN354417","638","315","cairn","","","2001-10-28","","50","OL48W 377E 378W","237370","741140","56.53404","-4.646059","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,"Meall Buidhe","02A",,"Ma,M,Sim","932","3058","NN498499","NN 49844 49938","NN447447","616","316","cairn","cairn is highest point of rather flat area","Abney level","2001-10-28","","51","OL48W 378W","249841","749946","56.617231","-4.448591","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,"Ben Lawers","02B",,"Ma,M,Sim,CoH, CoU,CoA","1214","3983","NN635414","NN 63555 41416","NN292538","299","915","trig point","rock 5m N is of very similar height","Abney level","2012-08-15","","51","OL48E 378E","263553","741424","56.544922","-4.22086","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
142,"An Stuc","02B",143,"Hu,M,Sim","1117.1","3665","NN638431","NN 63892 43095","NN640432","991","126","large rock 25m SW of cairn","cairn is at NN 63877 43079","Leica RX1250","2016-10-11","","51","OL48E 378E","263890","743103","56.560093","-4.216258","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143,"Meall Garbh","02B",,"Ma,M,Sim","1123.1","3685","NN644437","NN 64439 43749","NN635426","925","198","small cairn","","Leica RX1250","2016-10-11","","51","OL48E 378E","264437","743757","56.566122","-4.207707","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144,"Beinn Ghlas","02B",141,"Hu,M,Sim","1103","3619","NN625404","NN 62532 40456","NN630411","996","107","cairn","","obvious summit","2009-11-20","","51","OL48E 378E","262529","740464","56.536005","-4.236977","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
145,"Beinn Sheasgarnaich [Beinn Heasgarnich]","02B",,"Ma,M,Sim","1077.4","3535","NN413383","NN 41383 38331","NN 4471 3924","498.4","579","large cairn","","obvious summit/Leica RX1250","2015-08-22","","51","OL48W 378W","241380","738339","56.510272","-4.579218","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
146,"Meall Corranaich","02B",,"Ma,M,Sim","1069","3507","NN615410","NN 61536 41039","NN620407","867","202","cairn with metal fence posts","","obvious summit","2001-10-28","","51","OL48E 378E","261534","741047","56.540946","-4.253469","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,"Creag Mhor","02B",,"Ma,M,Sim","1047","3435","NN391361","NN 39154 36103","NN397367","654","393","cairn","","Abney level","2012-08-15","","50","OL48W 378W","239151","736111","56.489519","-4.614022","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
149,"Meall nan Tarmachan","02B",,"Ma,M,Sim","1043.5","3424","NN585389","NN 58521 38990","NN 5923 4157","549.2","494.4","cairn","","Leica RX1250","2015-06-23","","51","OL48E 378E","258518","738998","56.521655","-4.301343","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,"Meall Ghaordaidh","02B",,"Ma,M,Sim","1039.8","3411","NN514397","NN 51445 39696","NN558413","548","492","trig point in windshelter","","Leica RX1250","2015-05-30","","51","OL48W 378W","251442","739704","56.525809","-4.416654","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,"Ben Challum [Beinn Challuim]","02B",,"Ma,M,Sim","1025","3363","NN386322","NN 38688 32226","NN378330","575","450","cairn","","","2001-10-28","","50","OL48W 377E 378W","238685","732234","56.454565","-4.619183","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
154,"Meall Greigh","02B",,"Ma,M,Sim","1001","3284","NN674438","NN 67403 43800","NN657440","834","167","cairn","","","2012-08-15","","51","OL48E 378E","267401","743808","56.567426","-4.159543","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,"Meall Glas","02B",,"Ma,M,Sim","959","3146","NN431321","NN 43150 32185","NN397295","405","554","cairn on small outcrop","","obvious summit","2001-10-28","","51","OL48W 378W","243147","732193","56.455702","-4.546836","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
163,"Meall a'Choire Leith","02B",,"Ma,M,Sim","925.6","3037","NN612438","NN 61251 43874","NN 6144 4308","775.1","150.5","rock c 20m S of cairn","","Abney level/Leica RX1250","2016-10-11","","51","OL48E 378E","261248","743882","56.566312","-4.259625","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
165,"Sgiath Chuil","02B",,"Ma,M,Sim","920","3018","NN462317","NN 46293 31785","NN454325","609","311","cairn on outcrop","","Abney level/Leica RX1250","2014-11-04","summit measured at 920.0m","51","OL48W 378W","246290","731793","56.453149","-4.495653","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,"Aonach Eagach - Sgorr nam Fiannaidh","03A",,"Ma,M,Sim","967","3173","NN140583","NN 14047 58297","NN414599","345","622","remains of trig point","","obvious summit","2012-08-15","","41","384","214043","758306","56.679387","-5.037143","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
179,"Aonach Eagach - Meall Dearg","03A",178,"Hu,M,Sim","952.2","3124","NN161583","NN 16128 58354","NN 15140 58365","832","120.1","cairn","","obvious summit/Leica RX1250","2014-08-20","Col measurement is 832.0m","41","384","216124","758363","56.680720","-5.003271","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
191,"Bidean nam Bian","03B",,"Ma,M,Sim,CoH","1149.4","3771","NN143542","NN 14345 54202","NN206560","305","844","cairn","top 200m WNW at NN141542 is lower","Abney level/Leica RX1250","2015-10-10","","41","384","214341","754211","56.642768","-5.029335","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
194,"Stob Coire Sgreamhach","03B",191,"Hu,M,Sim","1072","3517","NN154536","NN 15491 53656","NN150536","944","128","cairn","ground 50m W is about 1m lower","Abney level","2009-11-20","","41","384","215487","753665","56.638322","-5.010285","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,"Beinn a'Bheithir - Sgorr Dhearg","03B",,"Ma,M,Sim","1024","3360","NN056558","NN 05688 55837","NN051543","295","729","cairn","trig point destroyed","obvious summit","2007-03-10","","41","384","205684","755846","56.653921","-5.171510","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
196,"Buachaille Etive Mor - Stob Dearg","03B",,"Ma,M,Sim","1021.4","3351","NN222542","NN 22269 54245","NN183529","489","532","outcrop near cairn on path","embedded rock by main cairn 115m NE at NN 22364 54312 is 0.2m lower","Leica RX1250","2013-11-23","","41","384","222265","754254","56.646229","-4.900336","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
198,"Beinn a'Bheithir - Sgorr Dhonuill","03B",,"Ma,M,Sim","1001","3284","NN040555","NN 04062 55531","NN047554","757","244","cairn","","obvious summit","2012-08-15","","41","384","204058","755540","56.650499","-5.197757","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199,"Sgor na h-Ulaidh [Sgurr na h-Ulaidh]","03B",,"Ma,M,Sim","994","3261","NN111517","NN 11120 51787","NN130524","579","415","cairn","","","2001-10-28","","41","384","211116","751796","56.619813","-5.080078","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
201,"Beinn Fhionnlaidh","03B",,"Ma,M,Sim","959","3146","NN095497","NN 09513 49760","NN111506","449","510","outcrop 10m ESE of trig point","trig point is at NN 09502 49764","","2015-08-21","","50","384","209509","749769","56.600979","-5.104733","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
202,"Buachaille Etive Beag - Stob Dubh","03B",,"Ma,M,Sim","958","3143","NN179535","NN 17914 53532","NN169533","489","469","cairn","","obvious summit","2012-08-15","","41","384","217910","753541","56.638159","-4.970747","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,"Buachaille Etive Mor - Stob na Broige","03B",196,"Hu,M,Sim","953.4","3128","NN190525","NN 19076 52559","NN 2028 5305","818.8","134.6","rock 8m NE of large cairn","","Abney level/Leica RX1250","2014-10-30","","41","384","219072","752568","56.629880","-4.951151","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,"Beinn Sgulaird","03B",,"Ma,M,Sim","937","3074","NN053460","NN 05307 46079","NN088468","275","662","large cairn","","","2001-10-28","","50","384","205303","746088","56.566232","-5.170365","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
